DimInvestmentID,Investment Regime,Asset Class,Sub Asset Class,SubAssetClassNew,AssetClassNew,Original_AssetClass,Original_SubAssetClass,SortOrder_Regime,SortOrder_AssetClass,SortOrder_SubAssetClass,IsAssetClass Total,IsConsolidation Account,IsRegime Total,IsSubassetClass Total,Name,IsAssetClassTotal,IsConsolidationAccount,InvestmentManagerID,IsRegimeTotal,IsSubassetClass_Total
3705,Global Equity,Private Equity,PE - Buyouts/Growth,PE - Buyouts/Growth,Private Equity,Private Equity,PE - Buyouts/Growth,1,5,19,0,0,0,0,Arctos Sports Partners II - CI,0,0,Arctos,0,0
3771,Global Equity,Private Equity,PE - Buyouts/Growth,PE - Buyouts/Growth,Private Equity,Private Equity,PE - Buyouts/Growth,1,5,19,0,0,0,0,LFM III,0,0,LFM Capital,0,0
3784,Global Equity,Private Equity,PE - Buyouts/Growth,PE - Buyouts/Growth,Private Equity,Private Equity,PE - Buyouts/Growth,1,5,19,0,0,0,0,Southwest Opp - TGF,0,0,TGF,0,0
3798,Global Equity,Private Equity,PE - Buyouts/Growth,PE - Buyouts/Growth,Private Equity,Private Equity,PE - Buyouts/Growth,1,5,19,0,0,0,0,Thoma Bravo XVI,0,0,Thoma Bravo,0,0
3803,Global Equity,Private Equity,PE - Buyouts/Growth,PE - Buyouts/Growth,Private Equity,Private Equity,PE - Buyouts/Growth,1,5,19,0,0,0,0,Wingate V CI Vehicle,0,0,Wingate,0,0
3808,Global Equity,Private Equity,PE - Buyouts/Growth,PE - Buyouts/Growth,Private Equity,Private Equity,PE - Buyouts/Growth,1,5,19,0,0,0,0,Arcline III CI - Double Eagle,0,0,Arcline Investment Management,0,0
3936,Global Equity,Private Equity,PE - Buyouts/Growth,PE - Buyouts/Growth,Private Equity,Private Equity,PE - Buyouts/Growth,1,5,19,0,0,0,0,TPG Star,0,0,TPG Capital,0,0
3951,Global Equity,Private Equity,PE - Buyouts/Growth,PE - Buyouts/Growth,Private Equity,Private Equity,PE - Buyouts/Growth,1,5,19,0,0,0,0,Advent Global Technology III,0,0,Advent International,0,0
4003,Global Equity,Private Equity,PE - Buyouts/Growth,PE - Buyouts/Growth,Private Equity,Private Equity,PE - Buyouts/Growth,1,5,19,0,0,0,0,Triton II,0,0,Triton,0,0
4037,Global Equity,Private Equity,PE - Buyouts/Growth,PE - Buyouts/Growth,Private Equity,Private Equity,PE - Buyouts/Growth,1,5,19,0,0,0,0,Advent GPE XI,0,0,Advent International,0,0
4048,Global Equity,Private Equity,PE - Buyouts/Growth,PE - Buyouts/Growth,Private Equity,Private Equity,PE - Buyouts/Growth,1,5,19,0,0,0,0,LFM IV,0,0,LFM Capital,0,0
4066,Global Equity,Private Equity,PE - Buyouts/Growth,PE - Buyouts/Growth,Private Equity,Private Equity,PE - Buyouts/Growth,1,5,19,0,0,0,0,Veritas IX,0,0,Veritas,0,0
4079,Global Equity,Private Equity,PE - Buyouts/Growth,PE - Buyouts/Growth,Private Equity,Private Equity,PE - Buyouts/Growth,1,5,19,0,0,0,0,TPG Healthcare III,0,0,TPG Capital,0,0
4080,Global Equity,Private Equity,PE - Buyouts/Growth,PE - Buyouts/Growth,Private Equity,Private Equity,PE - Buyouts/Growth,1,5,19,0,0,0,0,Summa Equity III,0,0,Summa Equity,0,0
4113,Global Equity,Private Equity,PE - Buyouts/Growth,PE - Buyouts/Growth,Private Equity,Private Equity,PE - Buyouts/Growth,1,5,19,0,0,0,0,Reservoir CIP IV,0,0,Reservoir,0,0
4139,Global Equity,Private Equity,PE - Buyouts/Growth,PE - Buyouts/Growth,Private Equity,Private Equity,PE - Buyouts/Growth,1,5,19,0,0,0,0,TPG X,0,0,TPG Capital,0,0
4193,Global Equity,Private Equity,PE - Buyouts/Growth,PE - Buyouts/Growth,Private Equity,Private Equity,PE - Buyouts/Growth,1,5,19,0,0,0,0,Dragoneer CV - Accordion (AmWINS),0,0,Dragoneer,0,0
4311,Global Equity,Private Equity,PE - Buyouts/Growth,PE - Buyouts/Growth,Private Equity,Private Equity,PE - Buyouts/Growth,1,5,19,0,0,0,0,Hg Saturn 4,0,0,HG Capital,0,0
4586,Global Equity,Private Equity,PE - Buyouts/Growth,PE - Buyouts/Growth,Private Equity,Private Equity,PE - Buyouts/Growth,1,5,19,0,0,0,0,Altas III,0,0,Altas,0,0
4777,Global Equity,Private Equity,PE - Buyouts/Growth,PE - Buyouts/Growth,Private Equity,Private Equity,PE - Buyouts/Growth,1,5,19,0,0,0,0,Viburnum CI - MTI Group,0,0,Viburnum,0,0
4807,Global Equity,Private Equity,PE - Buyouts/Growth,PE - Buyouts/Growth,Private Equity,Private Equity,PE - Buyouts/Growth,1,5,19,0,0,0,0,Varde CI - GE - AUD,0,0,Varde,0,0
4818,Global Equity,Private Equity,PE - Buyouts/Growth,PE - Buyouts/Growth,Private Equity,Private Equity,PE - Buyouts/Growth,1,5,19,0,0,0,0,GTCR Strategic Growth II A,0,0,GTCR,0,0
4834,Global Equity,Private Equity,PE - Buyouts/Growth,PE - Buyouts/Growth,Private Equity,Private Equity,PE - Buyouts/Growth,1,5,19,0,0,0,0,LGP Jade Equity I CF IV - Pye-Barker,0,0,Leonard Green,0,0
4898,Global Equity,Private Equity,PE - Buyouts/Growth,PE - Buyouts/Growth,Private Equity,Private Equity,PE - Buyouts/Growth,1,5,19,0,0,0,0,MSouth IV,0,0,MSouth,0,0
5140,Global Equity,Private Equity,PE - Buyouts/Growth,PE - Buyouts/Growth,Private Equity,Private Equity,PE - Buyouts/Growth,1,5,19,0,0,0,0,GEC III,0,0,GEC,0,0
5408,Global Equity,Private Equity,PE - Buyouts/Growth,PE - Buyouts/Growth,Private Equity,Private Equity,PE - Buyouts/Growth,1,5,19,0,0,0,0,Insight XI,0,0,Insight Venture Partners,0,0
5459,Global Equity,Private Equity,PE - Buyouts/Growth,PE - Buyouts/Growth,Private Equity,Private Equity,PE - Buyouts/Growth,1,5,19,0,0,0,0,Centerbridge II,0,0,Centerbridge,0,0
5745,Global Equity,Private Equity,PE - Buyouts/Growth,PE - Buyouts/Growth,Private Equity,Private Equity,PE - Buyouts/Growth,1,5,19,0,0,0,0,American Industrial VII,0,0,American Industrial Partners,0,0
5793,Global Equity,Private Equity,PE - Buyouts/Growth,PE - Buyouts/Growth,Private Equity,Private Equity,PE - Buyouts/Growth,1,5,19,0,0,0,0,Distributed Stock - DCE,0,0,UTIMCO,0,0
5819,Global Equity,Private Equity,PE - Buyouts/Growth,PE - Buyouts/Growth,Private Equity,Private Equity,PE - Buyouts/Growth,1,5,19,0,0,0,0,Cortec IV,0,0,Cortec,0,0
5868,Global Equity,Private Equity,PE - Buyouts/Growth,PE - Buyouts/Growth,Private Equity,Private Equity,PE - Buyouts/Growth,1,5,19,0,0,0,0,LongueVue III,0,0,LongueVue,0,0
6017,Global Equity,Private Equity,PE - Buyouts/Growth,PE - Buyouts/Growth,Private Equity,Private Equity,PE - Buyouts/Growth,1,5,19,0,0,0,0,Ford Financial II,0,0,Ford Financial,0,0
